31,한국투자증권㈜,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",시간제,시급,11000,서울특별시 영등포구 의사당대로 88  (여의도동),중소,부산지역본부,126.9222856,37.5220856
32,(주)핸드,세탁원(다림질원),시간제,시급,9620,부산광역시 강서구 녹산산단382로14번길 27  (송정동),중소,부산지역본부,128.8562094,35.0876747
33,버팀병원,사무 보조원(일반사업체),계약직,월급,759980,경기도 수원시 영통구 영통로 195 버팀병원  (망포동),중소,부산지역본부,127.0558468,37.2452099
34,(주)베스트모카,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",상용직,시급,9620,경상북도 성주군 선남면 도흥길 47-21 (주)베스트모카,개인,대구지역본부,128.3804508,35.9015417
35,한국맥도날드(유) 청라DT점,주방 보조원(일반 음식점),계약직,시급,9620,인천광역시 서구 원창로 8 (청라동),대기업,인천지사,126.6496161,37.5174521
36,(주)세스코,사무 보조원(일반사업체),계약직,연봉,16300000,서울특별시 강동구 상일로10길 46 (상일동),중소,대전지역본부,127.174153,37.550358
37,대전신일여자고등학교,학교행정 사무원(교무),계약직,월급,2070000,대전광역시 중구 부사로 48 (부사동) 대전신일여자고등학교,중소,대전지역본부,127.4342778,36.3082876
38,주식회사 네이처앤드피플,음료 조리사(바리스타 포함),상용직,시급,9620,강원도 춘천시 금강로83번길 26 (조양동),중소,강원지사,127.7320547,37.8794201
39,꽃동네제빵소협동조합,음료 조리사(바리스타 포함),상용직,시급,9620,충청북도 음성군 맹동면 원중로1119번길 42 꽃동네학교 내,"협회,단체",충북지사,127.5664921,36.891094
40,(주)오르비텍,머시닝센터(MCT) 조작원,상용직,연봉,29000000,서울특별시 구로구 디지털로33길 28 (구로동) 708호,중소,경남지사,126.8954755,37.486742
41,한국토지주택공사,공공행정 사무원,상용직,연봉,22973000,경상남도 진주시 충의로 19 한국토지주택공사 (충무공동),"공사,공공",경남지사,128.1457689,35.1781698
42,(주)제주로얄식품,식품 분야 단순 종사원,상용직,시급,9620,제주특별자치도 제주시 아란서길 91 6060-3 (아라일동),중소,제주지사,126.5405957,33.4706891
43,이엘씨에이한국,음료 조리사(바리스타 포함),계약직,월급,1365000,서울특별시 강남구 강남대로 382 9층 (역삼동),외국계,서울동부지사,127.0287132,37.4971261
44,한국토지주택공사,공공행정 사무원,계약직,월급,2000000,서울특별시 강남구 선릉로121길 12 (논현동),중소,서울동부지사,127.0409418,37.5145517
45,삼성생명보험(주),사무 보조원(일반사업체),계약직,월급,1174000,"서울특별시 서초구 서초대로74길 11 (서초동, 삼성전자 서초사옥) (서초동)",중소,경기동부지사,127.0269076,37.4966324
46,(주)정희씨앤씨,사무 보조원(일반사업체),상용직,월급,1005290,경기도 하남시 조정대로 150 아이테코 오렌지존 10층 1022호 (덕풍동),대기업,경기동부지사,127.1946825,37.5535298
47,(주)휴온스푸디언스,직업 운동선수,계약직,시급,10002,충청남도 금산군 금산읍 인삼광장로 19 휴온스푸디언스,중소,경기동부지사,127.5017425,36.098462
48,한국전력공사 경기북부본부,사무 보조원(공공기관),계약직,월급,2010580,경기도 의정부시 용민로19번길 80 (용현동),"공사,공공",경기동부지사,127.0820457,37.7368258
